Designator,Mid X,Mid Y,Rotation,Layer
C1,141.475,-81.15,180.0,top
C10,164.4125,-90.8,0.0,top
C11,155.925,-98.775,270.0,top
C12,167.1125,-89.9,270.0,top
C13,135.8,-78.025,270.0,top
C14,149.35,-93.375,270.0,top
C15,149.35,-96.375,90.0,top
C16,133.2,-99.675,270.0,top
C17,133.2,-96.675,90.0,top
C18,131.45,-96.45,90.0,top
C19,136.95,-93.55,0.0,top
C2,144.525,-81.15,0.0,top
C21,140.65,-102.5,180.0,top
C22,150.75,-102.5,180.0,top
C23,160.2,-102.5,180.0,top
C24,135.11,-86.35,90.0,top
C25,154.125,-98.975,270.0,top
C26,136.95,-95.05,0.0,top
C3,172.75,-78.0,270.0,top
C4,171.6,-87.75,90.0,top
C5,171.6,-91.85,270.0,top
C6,173.6,-93.25,270.0,top
C7,138.225,-70.25,180.0,top
C8,161.625,-98.7,270.0,top
C9,163.425,-98.925,270.0,top
D1,176.525,-93.975,90.0,top
D10,154.9,-102.8,0.0,top
D11,130.4,-70.65,90.0,top
D12,133.48,-88.6375,90.0,top
D13,182.4775,-84.0,270.0,top
D2,134.15,-80.35,90.0,top
D3,175.9,-96.95,180.0,top
D4,174.025,-96.95,0.0,top
D5,171.9,-96.95,0.0,top
D6,169.9,-96.95,180.0,top
D7,166.225,-96.95,0.0,top
D8,135.375,-102.825,0.0,top
D9,145.425,-102.8,0.0,top
J1,165.1,-66.45,270.0,top
J10,160.3,-108.811,180.0,top
J4,178.953,-74.72,90.0,top
J5,178.2975,-91.625,270.0,top
J6,172.155,-113.02,0.0,top
J8,138.99,-108.811,180.0,top
J9,149.65,-108.811,180.0,top
L1,161.3125,-89.8,270.0,top
LS1,165.1,-80.25,180.0,top
Q1,158.0,-83.0125,180.0,top
R1,174.8,-82.7,270.0,top
R10,159.2,-67.0,0.0,top
R11,168.1,-94.2,270.0,top
R12,169.6,-94.2,90.0,top
R13,147.5,-82.8,90.0,top
R14,149.0,-82.8,90.0,top
R16,159.2,-65.5,0.0,top
R17,153.5,-84.1,90.0,top
R18,152.0,-84.1,270.0,top
R19,176.75,-68.5,180.0,top
R2,177.1,-82.7,270.0,top
R20,180.5,-81.0,0.0,top
R21,176.1,-86.1,180.0,top
R22,138.225,-68.75,0.0,top
R23,138.225,-67.25,180.0,top
R25,158.7625,-95.2,0.0,top
R26,167.5875,-87.4,180.0,top
R27,159.075,-100.075,180.0,top
R28,164.5125,-86.5,180.0,top
R30,134.3,-78.025,90.0,top
R31,152.25,-94.85,0.0,top
R33,131.5,-99.875,270.0,top
R36,148.4875,-99.2,180.0,top
R37,146.25,-98.825,270.0,top
R38,138.3,-99.5,0.0,top
R39,140.525,-95.275,0.0,top
R41,137.65,-102.5,180.0,top
R42,158.05,-79.7,90.0,top
R43,156.55,-79.7,270.0,top
R44,147.75,-102.5,180.0,top
R45,157.225,-102.5,180.0,top
R46,132.7,-72.1,0.0,top
R47,132.7,-70.55,0.0,top
R48,132.7,-69.0,0.0,top
R49,133.61,-86.35,270.0,top
R5,163.4375,-95.575,0.0,top
R50,146.2,-91.6,270.0,top
R51,138.3,-98.0,180.0,top
R52,180.75,-84.0,90.0,top
R53,144.0,-97.3,180.0,top
R6,166.6,-94.2,270.0,top
R7,170.3,-67.7,90.0,top
R8,170.3,-64.4,270.0,top
R9,159.2,-68.5,180.0,top
SW1,131.3,-79.25,270.0,top
SW2,130.825,-88.225,270.0,top
U1,147.5,-71.99,180.0,top
U2,172.75,-75.35,0.0,top
U3,173.85,-89.8,0.0,top
U4,158.7625,-97.65,270.0,top
U5,164.5375,-88.525,90.0,top
U6,146.975,-94.9,90.0,top
U7,135.4625,-97.3,90.0,top
Y1,143.025,-83.05,0.0,top
